"SAMPLE_ID","SSN","Cluster","Plot","Depth","Country","Site","Region","Latitude","Longitude","PlotCultMgd","pH","m3.Al","m3.B","m3.Ca","m3.Cu","m3.Fe","m3.K","m3.Mg","m3.Mn","m3.Na","m3.P","m3.S","m3.Zn","PSI","ExNa","ExCa","ExMg","ExK","ExBas","EC","ExAcidity","Nitrogen_total","Carbon_total","Nitrogen_acidified","Carbon_acidified","Clay","Silt","Sand","Al","As","Ba","Ca","Co","Cr","Cu","Fe","Hg","K","Mg","Mn","Mo","Na","Nb","Ni","P","Pb","Rb","S","Sb","Se","Si","Sr","Ti","U","V","Y","Zn","Zr","Albite","Calcite","Clinochlore","Diopside","Goethite","Hematite","Hornblende","Kaolinite","Maghemite","Microcline","Montmorillonite","Muscovite","Nacrite","Quartz","Tremolite","Vermiculite","Gibbsite","Halloysite","Magnetite","Orthoclase","Gypsum","Titanium.Oxide","Dolomite","Ilmenite","Anorthite","Epidote","Lepidocrocite","Fluorapatite","Palygorskite","Fayalite","Antigorite","Iron.Oxide","Topaz","Lithiophorite","Beidellite","Biotite","Sepiolite","Talc","Tridymite"
6015,"icr006015",6,1,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.91083193,36.11650848,"No",7.13,740.6,0.427,985.8,2.022,98.25,177.7,323.3,193,50.92,4.616,11.31,2.326,8.509304418,0.221391304,4.929,2.671900826,0.454475703,8.276767834,0.165,0.18,0.039477115,0.364220609,0.031335357,0.366224428,21.813,10.444,67.743,77563.68,2.31,535.66,22642.74,8.8,43.79,12.67,27235.3,1146.82,30848.69,0.8805,500.46,1.07,1.806,10.99,16.53,724.22,7.28,76.94,927.45,7.74,1.87,428168.89,378.66,1810.03,1.83,73.36,18.17,33.76,177.76,25.8,0,0,0,0,0.3,0,0.3,0,21.5,0,2.7,0,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6016,"icr006016",6,1,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.91083193,36.11650848,"No",6.929,836,0.5616,935,2.003,125.4,141.6,356.7,210.9,51.28,3.603,10.84,2.028,2.787864715,0.222956522,4.675,2.947933884,0.362148338,8.208038744,0.154,0.18,0.040625588,0.370883167,0.02904144,0.324788928,17.81,7.497,74.694,80883.7,2.71,465.92,22366.61,9.13,60.29,18.78,30030.45,1203.85,29843.76,0.8805,508.12,1.39,1.806,9.36,20.16,826.48,7.89,84.32,877.46,6.9,1.49,378204.02,375.03,2297.3,1.75,85.46,16.91,30.08,191.03,23.3,0,0,0,0,0.3,2.6,1.8,0,24.9,0,2.9,0,44.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6035,"icr006035",7,1,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.88956308,36.12222672,"Yes",6.492,604.4,0.2876,459.7,0.7834,93.92,232.9,168.4,108,27.8,11.76,21.99,1.624,2.902925735,0.120869565,2.2985,1.391735537,0.595652174,4.406757276,0.153,0.09,0.042164549,0.366569877,0.036257197,0.350373417,10.3,6.346,83.353,72653.17,2.57,411.49,24214.65,7.42,35.38,10.53,18500.67,1050.59,37110.79,0.8805,336.01,1.79,1.806,10.55,10.81,631.85,8.04,77.61,892.11,7.23,1.66,503328.57,377.84,1592.45,1.66,64.93,16.76,16.88,298.4,20.8,0,0,0,0,0.2,0,0.3,0,22.9,0,1.3,0,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6036,"icr006036",7,1,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.88956308,36.12222672,"Yes",6.379,854,0.2959,731.1,1.006,117.1,224.3,281.7,115.7,44.61,4.552,15.6,1.617,17.09976786,0.193956522,3.6555,2.328099174,0.573657289,6.751212984,0.167,0.18,0.028153601,0.240818659,0.020814048,0.200710878,10.762,5.417,83.821,77126.46,3.57,463.99,22660.43,8.42,36.4,13.58,24103.92,1102.6,35773.18,0.8805,348.72,1.69,1.806,11.19,11.21,715.55,10.7,88.76,883.75,7.73,1.27,432340.41,352.81,1734.51,1.96,70.08,15.1,23.13,260.01,20.3,0,0,0,0,0.2,2.4,1.6,0,27.4,0,2.7,0,45.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6055,"icr006055",8,1,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.86175203,36.11831284,"No",6.883,863.3,0.4329,2222,1.8,199.3,408.6,643.7,172.1,44.25,55.79,15.41,2.737,20.42340788,0.192391304,11.11,5.319834711,1.045012788,17.6672388,0.218,0.18,0.060083006,0.791180034,0.059769875,0.802221696,55.787,15.541,28.672,83348.86,2.04,563.83,18396.7,9.45,124.3,20.52,31980.5,1355.16,39043.06,0.8805,501.65,1.11,1.806,10.74,66.73,864.24,6.02,114.7,916.56,7.1,2.09,349102.2,331.86,1895.71,2.45,90.33,16.61,46.03,144.69,23.6,0,0,0,0,0.3,0,1.6,0,30.3,0,3.8,0,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6056,"icr006056",8,1,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.86175203,36.11831284,"No",7.039,838,0.352,2125,1.975,142.2,198.8,574.6,189,57.76,34.26,12.17,1.791,5.724360592,0.251130435,10.625,4.748760331,0.508439898,16.13333066,0.24,0.09,0.049827166,0.51521039,0.035273246,0.532230417,32.592,17.362,50.046,83691.69,2.34,436.86,19181.18,10.05,143.99,20.58,32343.08,1264.22,37517.85,0.8805,440.97,1.17,1.806,12.06,62.34,879.52,7.15,108.77,879.9,7.8,1.73,347295.89,343.16,2310.02,2.34,90.12,16.04,40.9,152.34,28.2,0,0,0,0,0.4,2.2,2.3,0,31.1,0,3.7,0,32.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6076,"icr006076",9,5,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.93122,36.1357,"No",7.58,828.6,0.7049,2460,1.636,185.4,219.8,301,131.2,35.69,27.94,12.22,2.647,16.904964,0.155173913,12.3,2.487603306,0.562148338,15.50492556,0.25,0.09,0.110944492,1.108943105,0.104812754,1.261690974,10.028,11.361,78.611,83879.01,2.01,368.57,34030.79,10.43,42.1,23.37,37858.4,1417.08,34261.08,0.8805,661.92,2.11,1.806,11.18,12.42,1020.12,6.7,94.18,1039.55,6.84,2.05,347176.48,533.57,3363.38,1.55,93.98,19.79,64.72,310.2,27.9,0,0,0,0,0.1,0,0.3,0,23.9,0,2.2,0,44.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6077,"icr006077",9,5,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.93122,36.1357,"No",7.465,859.1,0.7309,2203,1.694,191,197.1,371,133.1,48.61,19.81,13.05,3.102,19.64685056,0.211347826,11.015,3.066115702,0.504092072,14.7965556,0.162,0.09,0.090885306,0.980122626,0.076690147,0.879808823,27.531,24.2,48.269,85592.64,2.41,518.01,31568.15,10.83,37.34,22.04,39620.46,1443.3,35922.41,0.8805,615.11,1.79,1.806,9.89,14.41,1021.06,8.2,103.76,1020.77,7.72,2.12,327261.8,506.69,2801.59,1.72,106.66,16.63,71.5,241.84,33.1,0,0,0,0,0.5,2.2,2.2,0,21,0,5.9,0,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6085,"icr006085",10,2,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.90524,36.1372,"No",6.837,737.8,0.6079,1423,1.54,125.3,239.1,283,139.1,27.8,15.29,11.89,3.846,1.325621238,0.120869565,7.115,2.338842975,0.611508951,10.18622149,0.082,0.18,0.121205037,1.555941383,0.112928949,1.585866332,20.68,24.829,54.491,79477.49,3.38,452.89,32201.65,8.62,35.88,15.8,26031.22,1076.32,35358.28,0.8805,627.51,2.44,1.806,20.7,14.88,898.42,14.07,95.31,1003.22,7.82,1.78,402897.2,402.27,2080.96,2.09,64.58,25.45,40.29,471.88,43.1,0,0,0,0,0.5,0,0.4,0,20.9,0,3.6,0,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6086,"icr006086",10,2,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.90524,36.1372,"No",7.092,642.8,0.602,1161,1.338,125.7,204,289.4,148,26.93,15.29,10.76,3.463,-0.295355656,0.117086957,5.805,2.391735537,0.52173913,8.835561624,0.082,0.18,0.082941564,1.012610773,0.071295775,0.999555469,NA,NA,NA,79980.99,3.1,445.56,30790.03,8.55,54.87,17.84,27279.9,1075.23,35701.61,0.8805,613.99,2.08,1.806,12.38,15.43,858.55,12.05,94.3,963.69,7.65,2.57,401276.41,438.95,2128.68,2.06,73.88,30.16,39,373.46,0,0,0,0,0,0.5,3,3.2,0,43.4,0,5.1,0,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6101,"icr006101",11,1,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.88657,36.1374,"No",8.052,650.4,1.18,5261,1.963,64.6,426.9,538.9,172.9,35.8,8.927,13.62,2.871,23.15896398,0.155652174,26.305,4.453719008,1.091815857,32.00618704,0.209,0.18,0.108517634,1.188027819,0.092501993,1.093615373,26.943,17.828,55.229,82792.33,2.28,253.35,27053.32,9.03,39.98,18.24,30206.75,1202.14,34579.45,0.8805,437.06,1.57,1.806,11.45,16.36,888.12,6.91,85.33,957.97,6.98,1.24,351839.14,402.1,2787.07,1.7,81.12,14.59,32.85,217.55,28.8,0,0,0,0,0.1,0,0.5,0,28.3,0,2,0,38.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6102,"icr006102",11,1,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.88657,36.1374,"No",8.064,507,0.5053,3949,1.427,58.68,183.4,344.3,125.6,30.75,7.957,45.13,2.83,10.18829049,0.133695652,19.745,2.845454545,0.469053708,23.19320391,0.174,0.09,0.048362871,0.582100848,0.031177139,0.452756842,16.952,12.274,70.774,82293.21,2.71,483.39,29567.22,9.89,60.46,21.21,35032.99,1183.84,34243.65,0.8805,439.02,2.81,1.806,14.16,18.38,954.77,8.22,83,959.67,6.43,1.59,353985.88,427.2,2137.64,1.65,83.51,19.95,31.98,530.19,30.3,0,0,0,0,0.5,5.8,1.9,0,22,0,4.1,0,35.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6121,"icr006121",12,1,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.86209822,36.14105606,"No",7.081,624.7,0.3992,633,0.7759,75.76,243.1,200.8,87.34,32.19,7.957,11.38,1.501,-7.573208562,0.139956522,3.165,1.659504132,0.62173913,5.586199784,0.106,0.18,0.056292893,0.518075198,0.054682328,0.572449843,22.93,17.308,59.762,74960.57,2.04,420.39,26296.57,7.31,43.18,10.71,18537.18,1153.83,29138.1,0.8805,319.73,2.41,1.806,8.29,11.69,698.25,5.77,59.23,941.56,6.86,1.71,459527.26,540.54,1424.76,0.86,68.56,13.78,26.49,392.94,45.2,0,0,0,0,0.6,0,0.4,0,25.5,0,2.8,0,24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6122,"icr006122",12,1,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.86209822,36.14105606,"No",6.646,745.8,0.281,496.5,0.6692,89.03,135.7,275.8,76.33,54.5,7.957,9.404,3.526,5.732593243,0.236956522,2.4825,2.279338843,0.347058824,5.345854188,0.067,0.36,0.028639069,0.249405538,0.024693209,0.271031136,28.507,17.365,54.127,75413.23,1.92,430.83,23616.64,7.64,62.24,8.39,20217.17,1143.18,28303.17,0.8805,256.3,1.9,1.806,8.29,9.93,693.79,5.22,64.87,879.15,6.96,1.57,439215.92,513.92,1522.89,0.96,61.35,13.17,25.28,317.52,30.9,0,0,0,0,0.5,5.9,1.9,0,20.6,0,4.2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6142,"icr006142",13,5,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.92808008,36.16547012,"No",6.731,485.1,0.8069,1501,1,146.5,296.4,220,91.13,19.63,34.39,17.53,3.228,-25.78279723,0.085347826,7.505,1.818181818,0.758056266,10.16658591,0.144,0.36,0.214322835,2.256526391,0.210696518,2.328887145,19.447,34.668,45.885,79340.83,1.37,551.08,32055.54,9.31,52.32,14.19,28136.65,1336.72,27865.75,0.8805,502.25,1.56,1.806,9.08,19.24,882.61,3.79,60.8,997.06,7.83,1.34,408813.13,462.62,1806,1.11,72.41,15.73,45.42,204.7,49.3,0,0,0,0,0.6,2.6,1,0,0,0,5.8,0,40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6143,"icr006143",13,5,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.92808008,36.16547012,"No",7.024,486.8,0.5619,1042,1.196,121,251.8,202.8,64.35,33.22,23.06,17.88,1.707,-21.49023455,0.144434783,5.21,1.676033058,0.64398977,7.67445761,0.117,0.45,0.102257937,1.140547991,0.104082058,1.125800888,27.088,34.347,38.566,80394.18,2.28,366.88,31754.26,8.86,50.8,19.07,30036.58,1283.77,29363.13,0.8805,533.69,1.53,1.806,10.29,26.67,896.16,6.77,62.72,998.88,6.59,2.31,395535.33,474.08,2698.7,1.14,75.7,15.71,47.12,193.24,40.5,0,0,0,0,0,3.5,2.3,0,0,0,8.4,0,32.6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
6152,"icr006152",14,3,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.90498781,36.16339493,"No",6.303,719.8,0.4171,483.7,0.6894,166.3,316.9,188.9,34.1,30.99,33.67,11.62,3.048,1.904618792,0.13473913,2.4185,1.561157025,0.810485934,4.924882089,0.092,0.45,0.117985703,1.323036631,0.107261156,1.297412992,14.117,17.999,67.884,76977.88,2.05,423.64,32333.97,8.69,51.69,15.54,27022.24,1273.44,30434.72,0.8805,435,1.73,1.806,12.04,12.59,867,5.77,64.33,985.22,6.68,1.68,440436.03,418.82,2169.36,1.3,79.53,16.39,37.89,292.22,29.9,0,0,0,0,0.5,0,0.5,0,19.3,0,2.6,0,45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6153,"icr006153",14,3,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.90498781,36.16339493,"No",5.087,971.3,0.1197,193.4,0.6026,156.2,185.3,139.7,11.72,31.61,20.5,9.846,1.651,37.00771057,0.137434783,0.967,1.154545455,0.473913043,2.732893281,0.101,1.17,0.041423264,0.503590047,0.039751897,0.442576677,15.243,17.381,67.376,79196.04,2.77,418.39,31066.84,8.96,59.58,16.2,30223.58,1258.26,30447.39,0.8805,418.09,1.59,1.806,13.03,19.19,853.18,8.22,73.47,957.75,7.25,1.43,411287.9,408.39,2440.21,1.59,86.45,16.09,44.61,266.68,29,0,0,0,0,0,2.7,1.8,0,17.4,0,4,0,35.1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
6164,"icr006164",15,2,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.88443995,36.16698837,"No",7.201,523.5,1.634,2842,1.218,131.6,357.2,383.9,101,25.23,61.15,18.2,4.498,-33.49367433,0.109695652,14.21,3.172727273,0.913554987,18.40597791,0.094,0.45,0.258502712,3.268205881,0.253198947,3.245208104,21.154,32.16,46.686,83497.32,1.81,486.67,42088.36,10.16,35.52,17.26,33881.8,1355.69,26590.37,0.8805,616.22,1.9,1.806,8.35,15.44,1029.12,5.69,63.02,1098.71,7.78,2.16,355497.84,502.15,2356.88,1.09,80.65,21.36,52.67,294.39,44.3,0,0,0,0,0.7,0,0.8,0,11.2,0,4.1,0,33.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6165,"icr006165",15,2,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.88443995,36.16698837,"No",7.126,668.4,0.5363,1288,0.9556,146.7,237.7,343,65.51,32.37,15.11,10.74,2.828,-23.39472668,0.14073913,6.44,2.834710744,0.607928389,10.02337826,0.099,0.36,0.08065524,1.047313571,0.069901442,1.018807054,11.984,18.794,69.222,83847.71,1.79,469.32,40441.68,10.14,54.42,18.26,36804.86,1309.75,24722.53,0.8805,581.63,1.89,1.806,11.41,13,1021.12,5.69,66.18,1002.96,6.31,1.25,350969.77,531.68,2700.11,0.97,100.67,18.59,52.96,274.27,42.9,0,0,0,0,0,4,1.8,0,0,0,5,0,36.2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
6179,"icr006179",16,1,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.87134,36.1579,"No",7.122,685.7,0.6999,1035,1.535,138.1,281.7,516,104.5,29.31,11.39,10.35,4.031,1.613042387,0.127434783,5.175,4.26446281,0.720460358,10.28735795,0.11,0.45,0.100637299,1.242857695,0.092345715,1.224069595,25.016,32.633,42.35,86464.62,1.88,516.66,44498.2,12.48,512.86,22.12,48399.74,1350.74,39726.24,0.8805,1020.06,1.38,1.806,11.91,123.3,1110.57,6.31,108.97,1112.37,6.21,1.52,305751.67,490.86,2621.1,2.04,102.58,15.58,62.69,163.58,41.9,0,0,0,0,0,29.4,0,0,17.3,0,3.3,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6180,"icr006180",16,1,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.87134,36.1579,"No",6.912,634,0.6479,1159,1.33,150.4,281.1,570.3,87.33,28.53,13.56,10.65,4.276,3.601677479,0.124043478,5.795,4.71322314,0.718925831,11.35119245,0.104,0.36,0.123373546,1.588119626,0.101363669,1.461591323,NA,NA,NA,86239.42,1.63,568.03,45403.04,13.27,521.85,34.24,50254.92,1443.2,40450.77,0.8805,996.02,1.44,1.806,9.69,123.43,1108.18,4.83,117.28,1103.95,7.72,2.4,307946.82,484.39,2600.8,2.31,102.06,16.75,56.94,139.32,40,0,0,0,0,0,24.7,1,0,20.9,0,3,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
